2021-03-04 10:49:47.921 | INFO     | engine:on_end_batch:476 - Epoch: [23][500/1972]	Time 0.435 (0.413)	Data 0.001 (0.006)	Loss 0.0208 (0.0174)
2021-03-04 10:53:12.516 | INFO     | engine:on_end_batch:476 - Epoch: [23][1000/1972]	Time 0.427 (0.411)	Data 0.001 (0.005)	Loss 0.0161 (0.0173)
2021-03-04 10:56:37.622 | INFO     | engine:on_end_batch:476 - Epoch: [23][1500/1972]	Time 0.420 (0.411)	Data 0.002 (0.004)	Loss 0.0156 (0.0173)
2021-03-04 10:59:52.926 | INFO     | engine:on_end_batch:476 - Epoch: [24][0/1972]	Time 2.223 (2.223)	Data 1.716 (1.716)	Loss 0.0165 (0.0165)
2021-03-04 11:03:18.307 | INFO     | engine:on_end_batch:476 - Epoch: [24][500/1972]	Time 0.406 (0.414)	Data 0.001 (0.006)	Loss 0.0190 (0.0173)
2021-03-04 11:06:43.018 | INFO     | engine:on_end_batch:476 - Epoch: [24][1000/1972]	Time 0.382 (0.412)	Data 0.001 (0.004)	Loss 0.0176 (0.0172)
2021-03-04 11:10:06.908 | INFO     | engine:on_end_batch:476 - Epoch: [24][1500/1972]	Time 0.386 (0.410)	Data 0.001 (0.004)	Loss 0.0195 (0.0172)
2021-03-04 11:13:21.724 | INFO     | engine:on_end_batch:476 - Epoch: [25][0/1972]	Time 2.033 (2.033)	Data 1.422 (1.422)	Loss 0.0165 (0.0165)
2021-03-04 11:16:46.650 | INFO     | engine:on_end_batch:476 - Epoch: [25][500/1972]	Time 0.384 (0.413)	Data 0.002 (0.005)	Loss 0.0195 (0.0170)
2021-03-04 11:20:11.212 | INFO     | engine:on_end_batch:476 - Epoch: [25][1000/1972]	Time 0.377 (0.411)	Data 0.001 (0.004)	Loss 0.0159 (0.0169)
2021-03-04 11:23:35.812 | INFO     | engine:on_end_batch:476 - Epoch: [25][1500/1972]	Time 0.392 (0.410)	Data 0.001 (0.004)	Loss 0.0172 (0.0170)
2021-03-04 11:26:49.719 | INFO     | engine:on_end_batch:476 - Epoch: [26][0/1972]	Time 2.190 (2.190)	Data 1.656 (1.656)	Loss 0.0186 (0.0186)
2021-03-04 11:30:15.512 | INFO     | engine:on_end_batch:476 - Epoch: [26][500/1972]	Time 0.389 (0.415)	Data 0.002 (0.006)	Loss 0.0138 (0.0169)
2021-03-04 11:33:39.308 | INFO     | engine:on_end_batch:476 - Epoch: [26][1000/1972]	Time 0.389 (0.411)	Data 0.001 (0.004)	Loss 0.0229 (0.0169)
2021-03-04 11:37:03.780 | INFO     | engine:on_end_batch:476 - Epoch: [26][1500/1972]	Time 0.443 (0.411)	Data 0.001 (0.004)	Loss 0.0163 (0.0170)
2021-03-04 11:40:19.115 | INFO     | engine:on_end_batch:476 - Epoch: [27][0/1972]	Time 2.088 (2.088)	Data 1.551 (1.551)	Loss 0.0156 (0.0156)
2021-03-04 11:43:44.137 | INFO     | engine:on_end_batch:476 - Epoch: [27][500/1972]	Time 0.405 (0.413)	Data 0.001 (0.005)	Loss 0.0179 (0.0167)
2021-03-04 11:47:08.257 | INFO     | engine:on_end_batch:476 - Epoch: [27][1000/1972]	Time 0.395 (0.411)	Data 0.001 (0.004)	Loss 0.0131 (0.0167)
2021-03-04 11:50:32.640 | INFO     | engine:on_end_batch:476 - Epoch: [27][1500/1972]	Time 0.408 (0.410)	Data 0.001 (0.004)	Loss 0.0170 (0.0168)
